"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
8,8,4,12,7,9,2,14,6,10,5,11
8,8,7,9,9,7,8,8,3,13,3,13
8,8,5,11,8,8,8,8,3,13,1,15
11,5,4,12,8,8,3,13,7,9,3,13
7,9,5,11,7,9,6,10,8,8,4,12
8,8,2,14,5,11,3,13,4,12,5,11
11,5,2,14,13,3,3,13,5,11,6,10
9,7,2,14,6,10,4,12,9,7,4,12
9,7,5,11,4,12,5,11,3,13,3,13
9,7,5,11,12,4,3,13,5,11,4,12
6,10,3,13,12,4,9,7,9,7,7,9
11,5,6,10,7,9,10,6,8,8,5,11
5,11,3,13,7,9,5,11,3,13,2,14
11,5,3,13,9,7,1,15,11,5,5,11
7,9,5,11,5,11,7,9,9,7,7,9
11,5,1,15,10,6,2,14,5,11,5,11
10,6,2,14,7,9,2,14,2,14,4,12
9,7,7,9,6,10,8,8,4,12,6,10
7,9,2,14,7,9,7,9,7,9,7,9
9,7,2,14,9,7,3,13,7,9,7,9
11,5,10,6,6,10,7,9,3,13,1,15
7,9,6,10,10,6,4,12,3,13,3,13
6,10,6,10,10,6,5,11,5,11,5,11
8,8,3,13,6,10,1,15,4,12,1,15
14,2,3,13,10,6,1,15,2,14,4,12
12,4,3,13,9,7,5,11,7,9,3,13
8,8,2,14,10,6,3,13,7,9,4,12
9,7,4,12,7,9,4,12,6,10,8,8
8,8,1,15,6,10,6,10,5,11,4,12
10,6,1,15,8,8,5,11,1,15,5,11
1,15,5,11,6,10,4,12,3,13,1,15
10,6,0,16,4,12,2,14,8,8,3,13
9,7,6,10,11,5,3,13,5,11,3,13
11,5,3,13,6,10,3,13,4,12,4,12
12,4,1,15,9,7,6,10,6,10,6,10
12,4,2,14,9,7,2,14,7,9,4,12
9,7,3,13,12,4,6,10,4,12,7,9
12,4,4,12,8,8,4,12,9,7,1,15
11,5,7,9,9,7,2,14,8,8,5,11
11,5,3,13,14,2,2,14,7,9,3,13
10,6,3,13,11,5,6,10,5,11,1,15
9,7,4,12,7,9,3,13,4,12,2,14
6,10,7,9,5,11,9,7,6,10,6,10
5,11,2,14,4,12,4,12,6,10,5,11
13,3,2,14,8,8,4,12,6,10,6,10
8,8,6,10,7,9,5,11,5,11,3,13
8,8,1,15,8,8,4,12,4,12,2,14
9,7,2,14,8,8,5,11,8,8,4,12
9,7,2,14,9,7,3,13,2,14,6,10
3,13,4,12,9,7,5,11,5,11,5,11
12,4,2,14,12,4,3,13,5,11,7,9
8,8,0,16,1,15,0,16,0,16,2,14
11,5,2,14,9,7,6,10,6,10,6,10
3,13,6,10,7,9,2,14,7,9,3,13
8,8,4,12,9,7,11,5,5,11,4,12
6,10,4,12,5,11,4,12,2,14,2,14
7,9,1,15,11,5,2,14,1,15,3,13
8,8,4,12,7,9,6,10,3,13,4,12
8,8,5,11,4,12,6,10,3,13,4,12
10,6,2,14,7,9,7,9,2,14,5,11
8,8,7,9,11,5,4,12,8,8,6,10
10,6,2,14,5,11,3,13,7,9,5,11
8,8,2,14,6,10,6,10,2,14,3,13
10,6,1,15,8,8,1,15,8,8,4,12
8,8,7,9,7,9,8,8,4,12,7,9
10,6,4,12,10,6,4,12,8,8,2,14
